Seguidores,Seguidos
5,12
10192,1970
412,638
1318,746
495,77
495,77
251,184
1271,376
722,954
801,1199
463,1067
1389,888
50,55
50,55
217,372
1158,226
3182,647
91,156
1468,516
3023,1390
28801,18644
28801,18644
17,157
3622,2345
1317,667
377,1508
222,118
9646,3960
515,313
3440,526
7002,5182
291,1449
285,237
377,148
57667,522
71196,3127
10,79
784,472
91,71
1628,1811
9,95
396,600
688,1326
25,456
4004,1658
2642,2926
105,199
24,180
67,61
170,448
39361,67
105,199
16,54
67,64
105,199
105,199
796,617
11509,3045
412,638
1585,2065
304,1177
632,457
152,459
1230,981
5279,968
6,37
156,170
2688,4934
430,96
201,224
201,224
1318,746
2518,5001
21381,457
10527,4788
10527,4788
121,44
894,572
191,226
514,893
7598,546
22,36
22,36
796,617
19,56
19,56
222,219
28802,18645
1569,994
124,239
161,210
370,576
1334,1478
457,204
178,175
3144,1001
12225,674
28802,18645
22816,3404
1317,740
28802,18645
22816,3404
1336,2768
17254,1901
25,61
25,61
2009,989
477,670
765,521
84,205
28803,18645
3,20
1914,2412
1772,607
796,617
46,309
8630,205
796,617
1839,1767
643,1817
16,56
675,1307
2390,1449
78,275
6659,1695
1805,462
796,617
4929,1904
743,1593
535,361
535,361
796,617
274,932
701,524
718,1604
3164,2793
17455,558
3569,306
9,39
228,374
828,840
796,617
14299,1192
2176,1436
4533,2488
3314,3844
69,411
59,266
69,411
796,617
675,1307
1733,1310
360,554
796,617
1733,1310
1733,1310
463,475
796,617
366,419
2952,3101
285,912
796,617
2293,2670
21830,5008
18,71
2155,1430
1016,1939
1016,1939
15,62
28804,18645
1021,515
49966,40850
1508,2133
169,149
379,813
34,119
34,119
3171,3923
2175,486
227,335
59,92
1942,2675
1942,2675
508,2289
1297,2060
621,1023
1721,770
63,94
28803,18645
600,85
600,85
75,133
75,133
511,853
1377,2662
1377,2662
2274,4975
1268,1649
654,496
670,251
670,251
424,251
4933,5089
13,95
469,272
28802,18645
63185,1455
3829,369
15,16
292,538
3406,1540
787,724
42,290
12,80
305,4030
305,4030
132,1236
1407,1297
1517,4933
28802,18645
4549,5004
967,2865
565,858
3240,3100
3240,3100
337,1681
229,947
972,1365
1800,1639
150,719
41180,1344
1086,946
42,224
7,190
60,296
362,522
32094,587
100,198
893,1173
54,189
893,1173
1256,1394
672,1360
10360,7747
137,153
10360,7747
370,88
370,88
26,107
239,220
536,975
6,45
1077,831
5,60
162,471
514,1392
84,548
84,548
178,602
28802,18645
761,1096
24111,374
1373,1759
176,454
178,602
126,10
20,258
411,604
193,125
91,71
340,407
91,71
258,299
957,253
957,253
957,253
28804,18646
281,560
56,110
4533,469
558,1028
5295,584
5713,671
335,467
106,282
117,442
46094,24582
385,2589
433,580
188,392
393,1921
393,1921
1010,438
4119,1472
188,392
2291,1061
1281,1805
631,2346
71186,3127
1010,438
587,977
3957,1446
1127,1992
2249,1206
54,189
54,189
4170,228
5279,922
10284,125
370,96
6594,2316
349,192
122,330
323,398
523,964
1261,1559
1104,843
222,364
651,230
161,82
4590,139
4590,139
193,311
3214,4498
2651,114
251,316
74,226
13,21
131,659
131,659
2359,2487
3227,1038
2382,2561
13,12
143,3030
5353,592
162,471
2107,3067
269,1481
8358,3048
100,521
163,155
477,563
1457,287
196,100
100,521
100,521
201,719
518,262
327,1074
4641,5103
84504,83
256,920
1169,2494
422,2935
5040,738
8747,598
10280,125
110,416
153,313
40,511
2875,801
2875,801
1943,2090
4065,1358
267,1
267,1
193433,1269
196,2876
2504,2965
1063,595
4533,2487
10280,125
33774,564
981,225
2090,3674
981,225
17,157
264,541
8960,3065
167,124
176,438
32096,587
462,492
37,143
45048,591
517,262
5781,939
25418,548
442,827
177,266
1278423,80
2946,2540
897,531
1278423,80
3729,3815
7005,2760
247,173
7560,6992
60,149
123,419
687,1325
1083,818
592178,155
25418,548
25418,548
3082,236
515,307
5,9
1278410,80
10626,2075
46,338
1278410,80
40,117
4450,2736
1258,1552
1278410,80
1066,2898
427,464
2309,4556
222202,1412
3145,1001
74,569
779,546
10278,125
39562,384
128,234
1514,1606
1278410,80
1718,1588
789,349
4095,112
4791,348
796,617
1255,1914
1168,948
80,97
2950,3098
7243,707
10655,1074
220,210
349,235
363,516
207,239
247,382
1599,514
25417,548
611,655
7324,8057
6517,92
2870,3017
10089,6693
736,2724
16699,14967
107738,283
335,108
296,259
1931,211
71182,3127
315,483
673,768
7435,356
1265,79
497,563
1194,1069
1194,1069
426,1156
10088,6693
1116,2082
76,213
49,83
63,190
361,233
179,3090
182,227
321,1519
1894,743
71182,3127
3551,599
6559,5588
28805,18648
940,1758
15240,1149
545,1216
408,615
442,345
307,181
31,79
408,615
9148,1424
1965,1695
1965,1695
301,220
1766,519
641,508
174,176
273,389
1313,1157
1420,1012
79,71
11521,3997
106,226
947,323
46,66
46,66
8961,2772
3171,647
4641,5102
9148,1424
28805,18648
2549,1100
41175,1341
35139,1857
7944,6696
8923,4441
338,930
287,1017
361,401
2549,1100
4,47
113,159
456,1172
5192,2072
2571,210
2549,1100
57,54
3551,599
1214,1802
971,441
16,328
171,928
2549,1100
6289,2411
15,62
17846,1652
193,870
961,3212
3065,767
522,407
882,618
28802,18648
117,122
10273,125
587,1614
48,234
2859,3536
48,234
300,1434
26102,2379
13,178
1677,1290
1386,359
2549,1100
183,666
127,234
2460,2292
2259,721
156,369
194,1119
102,140
7280,1138
2549,1100
809,951
49009,3963
2157,2097
294,179
1209,1133
423,2607
527,1269
1677,1290
143,395
1296,1559
1296,1559
1296,1559
10273,125
3444,2852
1707,1050
160,206
2293,1060
68,337
6857,348
109,189
93,529
6,31
152,200
6,31
194,613
1166,728
1677,1290
71,53
941,479
3364,607
1592,1226
2549,1100
2557,813
192,1142
1272,4958
2346,2011
785,722
