Usuario,Seguidores,Seguidos,nroTweets,nroReTweets
rbacci,293,540,0,1
EloyArostico,259,705,0,2
Alezhas,351,916,0,1
daianagrenon1,16,79,0,2
ialvaro75,283,273,2,0
carcamofelipe,3936,5001,0,1
Marialportugues,194,1304,0,1
gloralonso,1065,2392,2,0
anikka91,826,1706,0,3
JuanTxo71,7,144,0,6
DPRCubaOnu,1933,1061,0,1
Itziar_g,938,678,0,1
rivenezuela,48,109,0,1
JulianVenturaV,12984,3414,1,0
joamma,568,1589,0,2
linaarbelaez,2283,1055,0,3
IndurotUniovi,259,191,1,0
JulianMarquina,14502,1217,0,1
MicRocamora,1013,550,0,1
BaryBigay,119,5,1,0
pisorga,66,174,0,1
ArturoM99042741,4,74,0,1
aandreajimenezm,12,223,0,1
platdeinfancia,16394,4470,1,1
pseverino_g,280,1309,0,1
a_neimi,2719,4977,0,1
aambros,2080,1513,1,23
vpalacios2,432,579,0,3
cris_aranda_,5490,2533,0,1
ckundaa,275,639,2,0
CIEPSEdomex,104,151,0,1
Aulasmultimedia,4929,1904,0,1
SchulbaumO,2257,2281,0,1
TmallogMallo,990,4916,0,1
EnricMasia,52,86,0,1
AidyRoa,2362,905,0,1
Fdo_Cabezas,285,1008,0,2
XavierPeriz,279,453,0,1
evanderrojasb,9298,5481,1,0
MRiberasoriano,55,55,0,2
quepulsometro,46,87,0,1
agusrechy,923,1549,0,1
Elarkidelbarrio,584,1605,1,8
Carloscarau,255,645,0,2
dipf94,130,648,0,1
ama1215,666,2047,0,2
iagobueno,284,677,8,2
consultoresmyp,120,644,0,1
SoniaQuinteroLi,109,551,0,1
MaRiaYos10,66,65,0,1
InnovARCS,2139,1157,1,0
DeniseCharlson5,2,151,0,1
RodrigoIbeasCs,2359,2377,0,1
frayxavier,587,342,0,1
IsaRoigLlorca,462,202,0,1
ArieVeldhuizen,806,351,0,1
gisevemposta,289,641,0,1
D_A_GUARDIA,254,510,0,1
exovoyager,244,709,0,1
asiet_lat,6301,3020,0,1
OIMChile,5502,3272,1,0
PabloB4B,570,193,0,1
crespial,1297,253,3,0
znaiders84,69,283,0,1
BCMPSOE,153,128,6,0
JuntosporlaVida,793,829,0,1
PremioSacha,436,344,3,0
gabinete_cadiz,269,322,0,1
Traderfxclub,328,716,1,0
Armando60Ortega,324,356,0,2
neusponspena,484,528,0,1
ACN_Veterinario,1087,319,0,1
SaludMentalRM,1525,460,1,1
CamiSilver,199,447,0,1
ricvcas,15,43,0,1
ndequeiros,1052,351,0,2
ABACUS_ENERGIA,38,80,1,0
Miguegarcangel,98,3207,0,1
ALDABORO,3428,4730,0,1
RREI_inclusiva,562,248,0,1
Odiaber,1364,4995,0,2
Jaro1256,50,92,0,1
Francis32316467,30,90,0,1
cifelarioja,1141,267,1,0
Jmgregoriomo,144,387,0,2
magdalenaruizm,5775,929,0,3
cheycordova,1858,1752,0,1
fabhuelva,3437,273,7,0
crjaimes,314,803,0,1
DavidPaezRod,1057,1570,1,0
HugoMartinezSV,18094,367,1,0
aliciaselles,1311,670,2,3
lauraaltamiralo,758,753,0,1
BrezoSintes,96,328,0,2
ArelysBG,935,626,0,1
CentroCisne,14,7,0,1
will_iriarte,1273,2535,0,1
MarioRodasA,377,100,0,1
Violet_Ruouiz,3020,1383,0,12
AljanabiHiyam,106,161,0,2
yolsdan,264,424,0,1
ErikaRM10,35,108,0,1
GustavoVasquezR,317,962,0,1
Gremabgt,94,290,0,1
MartaMuizFerrer,536,449,0,2
EnergiasECO,2027,441,0,1
rtorres_javier,607,1356,0,2
elarrecife,104,509,0,2
Ingesa_Melilla,1147,186,0,1
daetsime,1192,168,0,1
SaveChildrenMx,13829,4244,1,0
IsabelRMora,1097,1828,0,1
EDITHVILLA3,938,1381,0,1
thaisdumet,569,203,0,1
fjaviergsoria,499,1560,0,1
jaramillorojasL,101,348,0,1
CSecc13,181,1002,0,1
FernandoZulaica,961,1008,0,1
PepeGarcitapia,3530,1665,0,1
devidasencilla,164,210,0,1
agorarsc,12814,2764,4,2
FerTrotz,62,71,0,1
msevilla00,910,530,0,1
iRiego,3958,1432,0,1
miguelcarrenof,122,925,0,1
montserrattoha,79,244,0,1
contacteando,1828,927,0,2
lgnnoticias,552,485,0,1
EugenioPrieto,21305,2189,0,1
EquoCanarias,1565,888,0,1
ElcheCoopera,434,196,0,1
orlandaguirre,1306,3216,0,1
DieArmany10,433,5001,0,1
Maf2872,11,24,0,3
acocex,3196,1023,1,0
GomezCojo,342,990,0,1
LetMeHearAban,53,94,0,1
gablozano,276,747,1,0
LucasFi17581625,106,282,0,1
sandraramon,809,951,0,1
carlosalvarezri,838,768,0,1
CorporacionGPF,1312,195,7,0
ClaveSg,352,1136,0,1
martinezvicent,277,928,0,1
AmpfmexMario,166,123,0,3
pdeguadalupe,282,106,0,1
Arturito576,298,316,0,2
ongAIDA,3923,1386,1,0
bd4dnetwork,145,6,0,3
Ugald_Armando,590,282,0,1
chary_mellado,49,271,0,1
GlobalSurveySDG,310,654,0,1
Beatrizalai,227,438,0,1
ConOtraCLASE,5479,5071,0,1
sonilink,2065,1936,0,4
PROhumana,12212,6372,1,0
melmcwey,3460,826,0,2
hormiguitaviaj2,129,372,0,1
fundmamonal,3093,938,1,0
oeg_upm,1073,163,0,1
nachohouses,401,752,0,1
fundacionexit,6313,1917,0,1
AliarseSAS,30,168,0,1
Lilia_Julieta,487,1779,0,1
Fundacion_ONCE,55756,1127,0,2
GracielaParraL2,29,18,0,1
Ma_LuDominguez,140,367,0,1
MacarenaBerlin1,21851,4355,1,0
cONGDcar,1727,802,0,1
miltonaguas,646,759,0,2
quameorg,958,996,0,2
Angel_cartagena,346,451,0,1
Enrique81064399,61,147,0,1
invesyde,53,6,0,1
Admon_GobOax,10023,242,0,1
RIEIOficial,98,75,1,0
AlfredoNRios,352,420,0,1
vikyvilarino,447,270,0,2
SocEnterpriseES,1476,1405,0,1
Cotec_Innova,38833,1621,4,6
proturbiomar,1875,4371,0,1
IEDMangrane,524,490,0,1
tomasito3111,53,230,0,1
vannykurioca,406,493,0,1
Guiller32230245,8,192,0,1
FBiodiversidad,65094,473,2,0
MovimientoxlPaz,9639,1376,1,0
lopezacunad,574,671,0,1
CaridaddelaHera,145,382,0,4
aleuy24,357,562,0,1
yudelquisp1,5,28,0,1
malurubio12,131,173,0,5
elenayllon,1243,1320,0,1
ProPacificoOrg,3058,624,0,1
GabPS9,179,781,0,1
CEADS_AR,3811,759,3,0
HorizontesAbier,381,1004,0,1
pao_simonetti,894,572,0,1
espenovo61,54,224,0,1
PortalJMX,1734,970,0,14
MiguelGeraldin9,143,3030,0,1
LadimirOscar,16,28,0,1
TraviesaEdicion,247,375,1,0
GGroxanaaguirre,49966,40850,0,1
s4theplanet,18,70,0,2
zicla_eus,295,237,0,1
Beavalenzuelavt,911,1201,0,1
annarocatorrent,307,1291,0,1
SACCHIDANIELA,1201,303,0,2
ivanalfonso1311,34,209,0,1
ACCIONA,113748,735,0,2
Lyli3185,6,47,0,1
Bcodescoke,431,588,0,1
RodrigoAssadi,2030,771,0,1
pedritoortizjr,88930,2764,0,1
PabloGMexia,941,337,0,1
KPMG_VE,8053,398,1,0
Karikaturas,10,92,0,1
Ana_AmorAlameda,74,226,0,1
JoseCerdanBelda,429,451,0,1
sidlowe,438081,1487,0,1
MeridaVanessa,4911,3256,0,1
SOLABRIA,3324,129,0,2
acmvzla,221,446,0,1
FABIANECOLOGIA,334,1016,0,12
ReverdeciendoMx,19,192,0,1
AECA_ITV,1288,1451,1,1
